folder,name,file,left,top,right,bottom,width,height
00_full_screen,dashboard_full,00_full_screen/dashboard_full.png,0,0,941,1672,941,1672
01_header,header_full,01_header/header_full.png,0,0,941,232,941,232
01_header,logo_symbol,01_header/logo_symbol.png,66,32,154,126,88,94
01_header,logo_text,01_header/logo_text.png,175,32,404,126,229,94
01_header,notification_icon,01_header/notification_icon.png,727,44,814,134,87,90
01_header,profile_icon,01_header/profile_icon.png,830,44,920,134,90,90
01_header,greeting_avatar,01_header/greeting_avatar.png,65,130,156,223,91,93
01_header,greeting_text,01_header/greeting_text.png,178,135,602,226,424,91
02_balance_card,saldo_card_full,02_balance_card/saldo_card_full.png,46,254,894,523,848,269
02_balance_card,saldo_title_amount,02_balance_card/saldo_title_amount.png,93,279,436,415,343,136
02_balance_card,eye_icon,02_balance_card/eye_icon.png,276,285,322,331,46,46
02_balance_card,security_badge,02_balance_card/security_badge.png,638,279,881,370,243,91
02_balance_card,button_isi_saldo,02_balance_card/button_isi_saldo.png,68,404,351,493,283,89
02_balance_card,button_transfer,02_balance_card/button_transfer.png,366,404,626,493,260,89
02_balance_card,button_riwayat,02_balance_card/button_riwayat.png,641,404,901,493,260,89
03_banner,hero_banner_full,03_banner/hero_banner_full.png,50,550,896,867,846,317
03_banner,hero_banner_left_text,03_banner/hero_banner_left_text.png,80,571,418,824,338,253
03_banner,hero_banner_cta,03_banner/hero_banner_cta.png,82,761,385,830,303,69
03_banner,hero_banner_icons,03_banner/hero_banner_icons.png,476,579,830,822,354,243
03_banner,hero_banner_tagline,03_banner/hero_banner_tagline.png,713,704,861,826,148,122
03_banner,hero_banner_dots,03_banner/hero_banner_dots.png,452,849,516,871,64,22
04_services,section_header,04_services/section_header.png,48,901,898,960,850,59
04_services,service_pulsa_data_tile,04_services/service_pulsa_data_tile.png,46,965,182,1142,136,177
04_services,service_paket_internet_tile,04_services/service_paket_internet_tile.png,195,965,333,1142,138,177
04_services,service_token_listrik_tile,04_services/service_token_listrik_tile.png,346,965,484,1142,138,177
04_services,service_ewallet_tile,04_services/service_ewallet_tile.png,499,965,637,1142,138,177
04_services,service_tagihan_tile,04_services/service_tagihan_tile.png,650,965,788,1142,138,177
04_services,service_lainnya_tile,04_services/service_lainnya_tile.png,800,965,897,1142,97,177
05_service_icons,pulsa_data_icon,05_service_icons/pulsa_data_icon.png,81,983,145,1060,64,77
05_service_icons,paket_internet_icon,05_service_icons/paket_internet_icon.png,229,983,296,1060,67,77
05_service_icons,token_listrik_icon,05_service_icons/token_listrik_icon.png,381,983,449,1060,68,77
05_service_icons,ewallet_icon,05_service_icons/ewallet_icon.png,533,983,603,1060,70,77
05_service_icons,tagihan_icon,05_service_icons/tagihan_icon.png,687,983,754,1060,67,77
05_service_icons,lainnya_icon,05_service_icons/lainnya_icon.png,832,983,889,1060,57,77
06_activity,activity_card_full,06_activity/activity_card_full.png,46,1190,895,1540,849,350
06_activity,activity_header,06_activity/activity_header.png,67,1210,883,1271,816,61
06_activity,activity_item_1,06_activity/activity_item_1.png,73,1283,876,1372,803,89
06_activity,activity_item_2,06_activity/activity_item_2.png,73,1372,876,1459,803,87
06_activity,activity_item_3,06_activity/activity_item_3.png,73,1459,876,1536,803,77
06_activity,activity_icon_1,06_activity/activity_icon_1.png,79,1288,151,1364,72,76
06_activity,activity_icon_2,06_activity/activity_icon_2.png,79,1379,151,1451,72,72
06_activity,activity_icon_3,06_activity/activity_icon_3.png,79,1465,151,1535,72,70
07_promo,promo_banner_full,07_promo/promo_banner_full.png,45,1564,899,1672,854,108
07_promo,promo_gift_illustration,07_promo/promo_gift_illustration.png,58,1574,289,1672,231,98
07_promo,promo_text_block,07_promo/promo_text_block.png,304,1581,663,1669,359,88
07_promo,promo_button,07_promo/promo_button.png,710,1597,889,1663,179,66
08_bottom_nav,bottom_nav_full,08_bottom_nav/bottom_nav_full.png,0,1518,941,1672,941,154
08_bottom_nav,nav_beranda,08_bottom_nav/nav_beranda.png,67,1603,200,1660,133,57
08_bottom_nav,nav_riwayat,08_bottom_nav/nav_riwayat.png,303,1603,446,1660,143,57
08_bottom_nav,nav_saldo,08_bottom_nav/nav_saldo.png,534,1603,660,1660,126,57
08_bottom_nav,nav_akun,08_bottom_nav/nav_akun.png,765,1603,881,1660,116,57
08_bottom_nav,home_indicator,08_bottom_nav/home_indicator.png,376,1647,568,1667,192,20
09_section_blocks,top_header_stack,09_section_blocks/top_header_stack.png,0,0,941,527,941,527
09_section_blocks,banner_and_services,09_section_blocks/banner_and_services.png,42,548,900,1150,858,602
09_section_blocks,activity_and_promo,09_section_blocks/activity_and_promo.png,45,1190,899,1672,854,482
